Detector type,Descriptor type,Average TTC diff
ORB,SIFT,inf
AKAZE,BRISK,1.662
AKAZE,AKAZE,0.88
AKAZE,ORB,1.591
BRISK,BRISK,0.965
ORB,BRISK,inf
FAST,BRISK,1.351
SIFT,FREAK,0.786
FAST,ORB,1.067
SHITOMASI,BRISK,0.898
SHITOMASI,ORB,1.118
FAST,BRIEF,1.255
BRISK,SIFT,1.367
BRISK,BRIEF,0.167
BRISK,FREAK,0.105
SIFT,SIFT,1.936
ORB,ORB,inf
FAST,SIFT,1.068
ORB,BRIEF,nan
SIFT,BRISK,0.939
AKAZE,BRIEF,1.628
HARRIS,BRISK,nan
BRISK,ORB,1.002
AKAZE,FREAK,1.586
SHITOMASI,BRIEF,1.596
SHITOMASI,FREAK,1.351
SHITOMASI,SIFT,1.382
ORB,FREAK,nan
FAST,FREAK,0.991
AKAZE,SIFT,1.249
SIFT,BRIEF,1.066
